iter	Passed	Remaining
0	1	101
1	1	64
2	1	50
3	1	41
4	1	37
5	2	34
6	2	32
7	2	31
8	2	29
9	3	30
10	3	28
11	3	28
12	4	27
13	4	26
14	4	26
15	4	25
16	5	24
17	5	24
18	5	24
19	6	24
20	6	23
21	6	23
22	6	22
23	7	22
24	7	21
25	7	21
26	7	21
27	8	20
28	8	20
29	8	19
30	8	19
31	9	19
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	16
39	11	16
40	11	16
41	11	15
42	11	15
43	11	15
44	12	14
45	12	14
46	12	14
47	12	13
48	13	13
49	13	13
50	13	13
51	13	12
52	14	12
53	14	12
54	14	11
55	14	11
56	15	11
57	15	11
58	15	10
59	15	10
60	16	10
61	16	10
62	16	9
63	16	9
64	17	9
65	17	8
66	17	8
67	17	8
68	18	8
69	18	7
70	18	7
71	18	7
72	19	7
73	19	6
74	19	6
75	19	6
76	20	6
77	20	5
78	20	5
79	20	5
80	21	4
81	21	4
82	21	4
83	22	4
84	22	3
85	22	3
86	22	3
87	23	3
88	23	2
89	23	2
90	23	2
91	24	2
92	24	1
93	24	1
94	24	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
