iter	Passed	Remaining
0	47	47713
1	48	24000
2	48	16072
3	48	12109
4	48	9726
5	49	8137
6	49	7006
7	49	6154
8	49	5492
9	50	4963
10	50	4529
11	50	4167
12	50	3862
13	51	3601
14	51	3373
15	51	3174
16	51	2999
17	52	2843
18	52	2704
19	52	2579
20	52	2465
21	53	2362
22	53	2267
23	53	2180
24	53	2101
25	54	2037
26	54	1969
27	54	1904
28	56	1878
29	56	1822
30	56	1769
31	56	1720
32	57	1674
33	57	1630
34	57	1589
35	57	1551
36	58	1515
37	58	1480
38	58	1447
39	59	1416
40	59	1386
41	59	1363
42	60	1336
43	60	1311
44	60	1287
45	60	1263
46	61	1240
47	61	1218
48	61	1197
49	61	1176
50	62	1157
51	62	1138
52	62	1120
53	62	1102
54	63	1086
55	63	1070
56	63	1055
57	64	1040
58	64	1026
59	64	1012
60	64	998
61	65	985
62	65	972
63	65	960
64	65	948
65	66	936
66	66	925
67	66	914
68	66	903
69	67	893
70	67	882
71	67	872
72	67	863
73	68	853
74	68	844
75	68	835
76	69	827
77	69	819
78	69	810
79	69	802
80	70	794
81	70	787
82	70	778
83	70	771
84	70	763
85	71	756
86	71	750
87	71	743
88	71	736
89	72	730
90	72	724
91	72	717
92	72	711
93	73	705
94	73	700
95	73	694
96	74	689
97	74	683
98	74	678
99	74	673
100	75	668
101	75	663
102	75	658
103	75	654
104	76	649
105	76	644
106	76	640
107	76	635
108	77	631
109	77	627
110	77	622
111	78	618
112	78	614
113	78	610
114	78	606
115	79	602
116	79	597
117	79	594
118	79	590
119	79	586
120	80	583
121	80	579
122	80	575
123	81	572
124	81	568
125	81	565
126	81	562
127	82	558
128	82	555
129	82	552
130	82	549
131	83	545
132	83	542
133	83	540
134	83	537
135	84	534
136	84	531
137	84	528
138	84	526
139	85	523
140	85	520
141	85	517
142	85	514
143	86	512
144	86	509
145	86	506
146	86	504
147	87	501
148	87	499
149	87	496
150	87	494
151	88	491
152	88	489
153	88	487
154	88	484
155	89	482
156	89	480
157	89	477
158	89	475
159	90	473
160	90	471
161	90	468
162	91	468
163	91	466
164	91	464
165	92	462
166	92	460
167	92	458
168	92	456
169	93	454
170	93	452
171	93	450
172	93	448
173	94	446
174	94	445
175	94	443
176	94	441
177	95	439
178	95	437
179	95	436
180	95	434
181	96	432
182	96	431
183	96	429
184	97	428
185	97	426
186	97	425
187	98	423
188	98	421
189	98	421
190	99	420
191	99	418
192	99	416
193	99	415
194	100	413
195	100	412
196	100	410
197	101	409
198	101	407
199	101	406
200	101	404
201	102	403
202	102	401
203	102	400
204	102	399
205	103	397
206	103	396
207	103	395
208	104	393
209	104	392
210	104	390
211	104	389
212	105	388
213	105	386
214	105	385
215	105	384
216	106	382
217	106	381
218	106	380
219	106	378
220	107	377
221	107	376
222	107	374
223	107	373
224	108	372
225	108	371
226	108	370
227	108	368
228	109	367
229	109	366
230	109	365
231	110	364
232	110	362
233	110	361
234	110	360
235	111	359
236	111	358
237	111	356
238	111	355
239	112	354
240	112	353
241	112	352
242	112	351
243	113	350
244	113	348
245	113	347
246	113	346
247	113	345
248	114	344
249	114	343
250	114	342
251	115	341
252	115	340
253	115	339
254	115	338
255	116	337
256	116	336
257	116	335
258	116	334
259	117	333
260	117	332
261	117	331
262	117	330
263	118	329
264	118	328
265	118	327
266	119	326
267	119	325
268	119	324
269	119	323
270	120	322
271	120	322
272	120	321
273	120	320
274	121	319
275	121	318
276	121	317
277	121	316
278	122	315
279	122	314
280	122	314
281	122	313
282	123	312
283	123	311
284	123	310
285	123	309
286	124	308
287	124	307
288	124	307
289	125	306
290	125	305
291	125	304
292	125	303
293	126	302
294	126	302
295	126	301
296	126	300
297	127	299
298	127	298
299	127	298
300	127	297
301	128	296
302	128	295
303	128	294
304	129	293
305	129	293
306	129	292
307	129	291
308	130	290
309	130	290
310	130	289
311	130	288
312	131	287
313	131	287
314	131	286
315	131	285
316	132	284
317	132	284
318	132	283
319	133	282
320	133	281
321	133	281
322	133	280
323	134	279
324	134	278
325	134	278
326	134	277
327	135	277
328	135	276
329	135	275
330	136	274
331	136	274
332	136	273
333	136	272
334	137	272
335	137	271
336	137	270
337	137	269
338	138	269
339	138	268
340	138	268
341	138	267
342	139	266
343	139	266
344	139	265
345	140	264
346	140	263
347	140	263
348	140	262
349	141	261
350	141	261
351	141	260
352	141	259
353	142	259
354	142	258
355	142	257
356	142	257
357	143	256
358	143	256
359	143	255
360	144	254
361	144	254
362	144	253
363	144	253
364	145	252
365	146	253
366	146	252
367	146	252
368	147	251
369	147	251
370	147	250
371	147	249
372	148	249
373	148	248
374	148	247
375	148	247
376	149	246
377	149	246
